Model,Average_RMSE,Average_MAE,Average_MAPE
Iterasi1,3.17779708123546,2.6647528686710813,13.8575977141089
FineTuning,3.191604036034163,2.6693674431284715,14.944761733380416
Iterasi3,3.1992474465792924,2.68192224010689,13.880822521770758
Baseline,4.569675362927356,3.7200474375210386,18.567478041495082
Iterasi2,5.4835342604082955,4.685991120775179,21.94462538462031
