Jenis_PLT,RMSE,MAE,MAPE,Metode
PLT Hybrid,0.038001018133644766,0.027179764792592365,11.355442100696406,Direct Training
PLTS,0.1670981166860362,0.10905817125982666,12.673755629262654,Transfer Learning
PLTS Atap,0.2667751512043602,0.2320254303573049,25.403031989542203,Direct Training
PLTMH,5.904263811361729,5.219000622784424,30.77419223598772,Transfer Learning
PLTM,6.434442297591689,4.927702752500408,15.663361558676181,Transfer Learning
PLTA,11.07203855240059,9.69979856749471,30.659392294112138,Transfer Learning
PLTB,14.502120875480015,12.587172536236983,27.083201884064874,Transfer Learning
