Jenis_PLT,RMSE,MAE,MAPE,Metode
PLT Hybrid,0.029230381335257093,0.02461019161470605,11.315560877106085,Direct Training
PLTS,0.1175687611262027,0.10099911364724988,11.523196727266104,Transfer Learning
PLTS Atap,0.3042056879469241,0.2547463547251943,27.95702544309796,Direct Training
PLTMH,2.0028900069470574,1.7733352234149173,10.880696594606661,Transfer Learning
PLTA,3.330041512829518,2.64967570271932,8.937622686989858,Transfer Learning
PLTM,3.505011121371224,2.701641829207358,10.586564798803883,Transfer Learning
PLTB,13.23247132742889,11.251591392539877,23.623735748244716,Transfer Learning
