Jenis_PLT,RMSE,MAE,MAPE,Metode
PLT Hybrid,0.04077995615781191,0.03047897655331293,12.998677082503916,Direct Training
PLTS,0.11832869407489417,0.10155371003161623,11.62258194294505,Transfer Learning
PLTS Atap,0.2947138584438999,0.24993080419085953,23.24775456985818,Direct Training
PLTMH,2.099281791772812,1.9080269511934411,11.54823871575109,Transfer Learning
PLTA,3.3999809003743384,2.7362074358158366,9.229197138867965,Transfer Learning
PLTM,3.433758139100489,2.637190293664552,10.317981275196853,Transfer Learning
PLTB,13.142046051030665,11.148330045190429,23.361318026957083,Transfer Learning
