Jenis_PLT,RMSE,MAE,MAPE,Metode
PLT Hybrid,0.041929477530756716,0.03027549478169822,12.676164363681336,Direct Training
PLTS,0.1183256961491076,0.1015959895929769,11.624747440856982,Transfer Learning
PLTS Atap,0.4335626059614772,0.3867663991451264,36.01956663008054,Direct Training
PLTMH,2.288508649599155,2.090269821524252,12.46634565314215,Transfer Learning
PLTA,3.3809944932884397,2.697736849674886,9.133073027795684,Transfer Learning
PLTM,3.460599474088041,2.6602324956604018,10.421153092173057,Transfer Learning
PLTB,13.128513849138525,11.136775009281413,23.327718765875364,Transfer Learning
