Jenis_PLT,Model_Terbaik,RMSE_Terbaik
PLT Hybrid,FineTuning,0.029230381335257093
PLTS,FineTuning,0.1175687611262027
PLTS Atap,Baseline,0.1832730982703906
PLTMH,FineTuning,2.0028900069470574
PLTM,Baseline,2.778179480130455
PLTA,FineTuning,3.330041512829518
PLTB,Iterasi3,13.128513849138525
