Model,Average_RMSE,Average_MAE,Average_MAPE
FineTuning,3.2173455427121533,2.6795142582669462,14.974914696587897
Iterasi1,3.2184127701364162,2.6873883166628643,14.617964107440018
Iterasi3,3.264633463679357,2.7290931513801078,16.52410985337216
Baseline,3.339137994005052,2.883196781438158,13.38755094157904
Iterasi2,5.28419473383727,4.4778776101993,20.988558365964888
