Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2028-04-01,2028,4,PLTM,28.67198
2028-05-01,2028,5,PLTM,28.671978
2028-06-01,2028,6,PLTM,28.671978
2028-07-01,2028,7,PLTM,28.671978
2028-08-01,2028,8,PLTM,28.671978
2028-09-01,2028,9,PLTM,28.671978
2028-10-01,2028,10,PLTM,28.671974
2028-11-01,2028,11,PLTM,28.671974
2028-12-01,2028,12,PLTM,28.671974
2026-01-01,2026,1,PLTMH,21.33929
2026-02-01,2026,2,PLTMH,21.80735
2026-03-01,2026,3,PLTMH,20.314646
2026-04-01,2026,4,PLTMH,17.679575
2026-05-01,2026,5,PLTMH,15.836662
2026-06-01,2026,6,PLTMH,15.5749235
2026-07-01,2026,7,PLTMH,16.02668
2026-08-01,2026,8,PLTMH,16.086916
2026-09-01,2026,9,PLTMH,16.509775
2026-10-01,2026,10,PLTMH,16.99582
2026-11-01,2026,11,PLTMH,17.270853
2026-12-01,2026,12,PLTMH,17.317377
2027-01-01,2027,1,PLTMH,17.279575
2027-02-01,2027,2,PLTMH,17.24014
2027-03-01,2027,3,PLTMH,17.147327
2027-04-01,2027,4,PLTMH,17.061684
2027-05-01,2027,5,PLTMH,17.016483
2027-06-01,2027,6,PLTMH,17.005453
2027-07-01,2027,7,PLTMH,17.009579
2027-08-01,2027,8,PLTMH,17.021074
2027-09-01,2027,9,PLTMH,17.039593
2027-10-01,2027,10,PLTMH,17.0548
2027-11-01,2027,11,PLTMH,17.062859
2027-12-01,2027,12,PLTMH,17.065287
2028-01-01,2028,1,PLTMH,17.064524
2028-02-01,2028,2,PLTMH,17.06183
2028-03-01,2028,3,PLTMH,17.058279
2028-04-01,2028,4,PLTMH,17.05552
2028-05-01,2028,5,PLTMH,17.054018
2028-06-01,2028,6,PLTMH,17.053534
2028-07-01,2028,7,PLTMH,17.053717
2028-08-01,2028,8,PLTMH,17.054289
2028-09-01,2028,9,PLTMH,17.054964
2028-10-01,2028,10,PLTMH,17.055475
2028-11-01,2028,11,PLTMH,17.055758
2028-12-01,2028,12,PLTMH,17.05585
2026-01-01,2026,1,PLTS,1.0778711
2026-02-01,2026,2,PLTS,1.0835379
2026-03-01,2026,3,PLTS,1.0772859
2026-04-01,2026,4,PLTS,1.069139
2026-05-01,2026,5,PLTS,1.0632305
2026-06-01,2026,6,PLTS,1.072004
2026-07-01,2026,7,PLTS,1.0905647
2026-08-01,2026,8,PLTS,1.0904844
2026-09-01,2026,9,PLTS,1.0902613
2026-10-01,2026,10,PLTS,1.0909747
2026-11-01,2026,11,PLTS,1.0927635
2026-12-01,2026,12,PLTS,1.0953734
2027-01-01,2027,1,PLTS,1.0973494
2027-02-01,2027,2,PLTS,1.0977066
2027-03-01,2027,3,PLTS,1.0981988
2027-04-01,2027,4,PLTS,1.0988194
2027-05-01,2027,5,PLTS,1.0994619
2027-06-01,2027,6,PLTS,1.1000078
2027-07-01,2027,7,PLTS,1.100364
2027-08-01,2027,8,PLTS,1.1005793
2027-09-01,2027,9,PLTS,1.1007997
2027-10-01,2027,10,PLTS,1.1010057
2027-11-01,2027,11,PLTS,1.101179
2027-12-01,2027,12,PLTS,1.101313
2028-01-01,2028,1,PLTS,1.1014125
2028-02-01,2028,2,PLTS,1.1014924
2028-03-01,2028,3,PLTS,1.1015636
2028-04-01,2028,4,PLTS,1.1016234
2028-05-01,2028,5,PLTS,1.1016716
2028-06-01,2028,6,PLTS,1.1017096
2028-07-01,2028,7,PLTS,1.1017401
2028-08-01,2028,8,PLTS,1.1017656
2028-09-01,2028,9,PLTS,1.101787
2028-10-01,2028,10,PLTS,1.1018041
2028-11-01,2028,11,PLTS,1.1018182
2028-12-01,2028,12,PLTS,1.1018295
2026-01-01,2026,1,PLTS Atap,1.1644644
2026-02-01,2026,2,PLTS Atap,1.1835855
2026-03-01,2026,3,PLTS Atap,1.1661345
2026-04-01,2026,4,PLTS Atap,1.1323247
2026-05-01,2026,5,PLTS Atap,1.0928782
2026-06-01,2026,6,PLTS Atap,1.0817691
2026-07-01,2026,7,PLTS Atap,1.0911552
2026-08-01,2026,8,PLTS Atap,1.0889386
2026-09-01,2026,9,PLTS Atap,1.085533
2026-10-01,2026,10,PLTS Atap,1.0825362
2026-11-01,2026,11,PLTS Atap,1.0807235
2026-12-01,2026,12,PLTS Atap,1.0803947
2027-01-01,2027,1,PLTS Atap,1.0804476
2027-02-01,2027,2,PLTS Atap,1.0800753
2027-03-01,2027,3,PLTS Atap,1.0797552
2027-04-01,2027,4,PLTS Atap,1.0795486
2027-05-01,2027,5,PLTS Atap,1.079448
2027-06-01,2027,6,PLTS Atap,1.0794107
2027-07-01,2027,7,PLTS Atap,1.07938
2027-08-01,2027,8,PLTS Atap,1.0793425
2027-09-01,2027,9,PLTS Atap,1.0793167
2027-10-01,2027,10,PLTS Atap,1.0793015
2027-11-01,2027,11,PLTS Atap,1.0792935
2027-12-01,2027,12,PLTS Atap,1.0792887
2028-01-01,2028,1,PLTS Atap,1.0792844
2028-02-01,2028,2,PLTS Atap,1.0792813
2028-03-01,2028,3,PLTS Atap,1.0792791
2028-04-01,2028,4,PLTS Atap,1.0792776
2028-05-01,2028,5,PLTS Atap,1.0792769
2028-06-01,2028,6,PLTS Atap,1.0792762
2028-07-01,2028,7,PLTS Atap,1.079276
2028-08-01,2028,8,PLTS Atap,1.0792757
2028-09-01,2028,9,PLTS Atap,1.0792755
2028-10-01,2028,10,PLTS Atap,1.0792753
2028-11-01,2028,11,PLTS Atap,1.0792753
2028-12-01,2028,12,PLTS Atap,1.0792754
