Jenis_PLT,RMSE,MAE,MAPE,Metode
PLT Hybrid,0.04085978667889608,0.029065581545861568,12.115632034781758,Direct Training
PLTS,0.12889664970710965,0.105739441714091,12.448271740041278,Transfer Learning
PLTS Atap,0.4764395843995766,0.43854838132858287,41.353359892959034,Direct Training
PLTMH,2.2104431239989744,2.0396880484021,12.34046384087443,Transfer Learning
PLTA,3.3244972411019114,2.629785871176351,8.949331435802877,Transfer Learning
PLTM,3.586061461654652,2.8063956447420253,11.026786223321938,Transfer Learning
PLTB,11.984488505368883,10.57025895243571,20.998380667594482,Transfer Learning
