Jenis_PLT,Model_Terbaik,RMSE_Terbaik
PLT Hybrid,FineTuning,0.028960718123512273
PLTS,FineTuning,0.12325544853787462
PLTS Atap,Baseline,0.17696267411960212
PLTMH,Baseline,2.0109654066485314
PLTM,Baseline,2.794497036324025
PLTA,Baseline,3.299462702800805
PLTB,Iterasi3,11.984488505368883
