Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2028-04-01,2028,4,PLTM,29.415789
2028-05-01,2028,5,PLTM,29.415789
2028-06-01,2028,6,PLTM,29.415789
2028-07-01,2028,7,PLTM,29.415789
2028-08-01,2028,8,PLTM,29.415789
2028-09-01,2028,9,PLTM,29.415789
2028-10-01,2028,10,PLTM,29.415789
2028-11-01,2028,11,PLTM,29.415789
2028-12-01,2028,12,PLTM,29.415789
2026-01-01,2026,1,PLTMH,21.35376
2026-02-01,2026,2,PLTMH,21.758392
2026-03-01,2026,3,PLTMH,20.341667
2026-04-01,2026,4,PLTMH,17.679981
2026-05-01,2026,5,PLTMH,15.703908
2026-06-01,2026,6,PLTMH,15.444764
2026-07-01,2026,7,PLTMH,15.966024
2026-08-01,2026,8,PLTMH,16.00523
2026-09-01,2026,9,PLTMH,16.426395
2026-10-01,2026,10,PLTMH,16.94019
2026-11-01,2026,11,PLTMH,17.242973
2026-12-01,2026,12,PLTMH,17.292244
2027-01-01,2027,1,PLTMH,17.251884
2027-02-01,2027,2,PLTMH,17.219332
2027-03-01,2027,3,PLTMH,17.124985
2027-04-01,2027,4,PLTMH,17.032228
2027-05-01,2027,5,PLTMH,16.98124
2027-06-01,2027,6,PLTMH,16.968082
2027-07-01,2027,7,PLTMH,16.970692
2027-08-01,2027,8,PLTMH,16.980652
2027-09-01,2027,9,PLTMH,16.999823
2027-10-01,2027,10,PLTMH,17.016619
2027-11-01,2027,11,PLTMH,17.025965
2027-12-01,2027,12,PLTMH,17.029186
2028-01-01,2028,1,PLTMH,17.029026
2028-02-01,2028,2,PLTMH,17.02664
2028-03-01,2028,3,PLTMH,17.022924
2028-04-01,2028,4,PLTMH,17.019829
2028-05-01,2028,5,PLTMH,17.018026
2028-06-01,2028,6,PLTMH,17.017311
2028-07-01,2028,7,PLTMH,17.017332
2028-08-01,2028,8,PLTMH,17.017843
2028-09-01,2028,9,PLTMH,17.01855
2028-10-01,2028,10,PLTMH,17.019135
2028-11-01,2028,11,PLTMH,17.01949
2028-12-01,2028,12,PLTMH,17.019636
2026-01-01,2026,1,PLTS,1.0424463
2026-02-01,2026,2,PLTS,1.0422477
2026-03-01,2026,3,PLTS,1.0373201
2026-04-01,2026,4,PLTS,1.0333842
2026-05-01,2026,5,PLTS,1.0325042
2026-06-01,2026,6,PLTS,1.0400866
2026-07-01,2026,7,PLTS,1.0534304
2026-08-01,2026,8,PLTS,1.0532736
2026-09-01,2026,9,PLTS,1.0533935
2026-10-01,2026,10,PLTS,1.0542383
2026-11-01,2026,11,PLTS,1.0557287
2026-12-01,2026,12,PLTS,1.0575666
2027-01-01,2027,1,PLTS,1.0589129
2027-02-01,2027,2,PLTS,1.059152
2027-03-01,2027,3,PLTS,1.0594964
2027-04-01,2027,4,PLTS,1.0599145
2027-05-01,2027,5,PLTS,1.0603288
2027-06-01,2027,6,PLTS,1.0606657
2027-07-01,2027,7,PLTS,1.0608776
2027-08-01,2027,8,PLTS,1.0609972
2027-09-01,2027,9,PLTS,1.061121
2027-10-01,2027,10,PLTS,1.0612351
2027-11-01,2027,11,PLTS,1.0613288
2027-12-01,2027,12,PLTS,1.0613981
2028-01-01,2028,1,PLTS,1.0614471
2028-02-01,2028,2,PLTS,1.0614849
2028-03-01,2028,3,PLTS,1.0615185
2028-04-01,2028,4,PLTS,1.0615463
2028-05-01,2028,5,PLTS,1.0615678
2028-06-01,2028,6,PLTS,1.0615841
2028-07-01,2028,7,PLTS,1.0615968
2028-08-01,2028,8,PLTS,1.0616069
2028-09-01,2028,9,PLTS,1.0616152
2028-10-01,2028,10,PLTS,1.061622
2028-11-01,2028,11,PLTS,1.0616271
2028-12-01,2028,12,PLTS,1.0616312
2026-01-01,2026,1,PLTS Atap,1.1460159
2026-02-01,2026,2,PLTS Atap,1.1662351
2026-03-01,2026,3,PLTS Atap,1.1605599
2026-04-01,2026,4,PLTS Atap,1.140884
2026-05-01,2026,5,PLTS Atap,1.113216
2026-06-01,2026,6,PLTS Atap,1.1041163
2026-07-01,2026,7,PLTS Atap,1.110216
2026-08-01,2026,8,PLTS Atap,1.1092381
2026-09-01,2026,9,PLTS Atap,1.107766
2026-10-01,2026,10,PLTS Atap,1.1064563
2026-11-01,2026,11,PLTS Atap,1.1056365
2026-12-01,2026,12,PLTS Atap,1.1054673
2027-01-01,2027,1,PLTS Atap,1.1054969
2027-02-01,2027,2,PLTS Atap,1.1053761
2027-03-01,2027,3,PLTS Atap,1.1052793
2027-04-01,2027,4,PLTS Atap,1.1052184
2027-05-01,2027,5,PLTS Atap,1.1051887
2027-06-01,2027,6,PLTS Atap,1.1051779
2027-07-01,2027,7,PLTS Atap,1.1051705
2027-08-01,2027,8,PLTS Atap,1.1051625
2027-09-01,2027,9,PLTS Atap,1.1051571
2027-10-01,2027,10,PLTS Atap,1.105154
2027-11-01,2027,11,PLTS Atap,1.1051526
2027-12-01,2027,12,PLTS Atap,1.1051517
2028-01-01,2028,1,PLTS Atap,1.1051509
2028-02-01,2028,2,PLTS Atap,1.1051505
2028-03-01,2028,3,PLTS Atap,1.1051502
2028-04-01,2028,4,PLTS Atap,1.10515
2028-05-01,2028,5,PLTS Atap,1.1051499
2028-06-01,2028,6,PLTS Atap,1.1051497
2028-07-01,2028,7,PLTS Atap,1.1051497
2028-08-01,2028,8,PLTS Atap,1.1051497
2028-09-01,2028,9,PLTS Atap,1.1051497
2028-10-01,2028,10,PLTS Atap,1.1051497
2028-11-01,2028,11,PLTS Atap,1.1051497
2028-12-01,2028,12,PLTS Atap,1.1051497
