Tahun,Target_Bauran_EBT_Persen,Sumber,Cakupan
2025,20,Perda Provinsi Sulawesi Selatan No. 2 Tahun 2022 (RUED),Bauran energi seluruh sektor (nasional/daerah) -- BUKAN spesifik sektor kelistrikan
2050,32,Perda Provinsi Sulawesi Selatan No. 2 Tahun 2022 (RUED),Bauran energi seluruh sektor (nasional/daerah) -- BUKAN spesifik sektor kelistrikan
