Jenis_PLT,Metode_Terpilih,RMSE_Test_2025_Konfirmasi,MAE_Test_2025_Konfirmasi,MAPE_Test_2025_Konfirmasi
PLT Hybrid,Iterasi2,0.03813799809439324,0.02720041407671674,11.383705326740111
PLTS Atap,Iterasi2,0.1909724656790914,0.17282615537031046,18.21629442727319
PLTS,Baseline,0.22570885193377516,0.17548100671313985,17.57688640341087
PLTMH,FineTuning,2.0527532015603733,1.8700387653108728,11.500138940414113
PLTA,FineTuning,3.4941466050419483,2.804901073663737,9.40781043225916
PLTM,Iterasi1,3.6097116001265332,2.79265506579061,10.999265391205487
PLTB,Baseline,16.55897425086946,12.511236727813317,20.286122017933558
