Model,Average_RMSE,Average_MAE,Average_MAPE
Baseline,3.296891142033087,2.7684740882921828,12.994584807958432
FineTuning,3.566326432756855,3.321660563380185,14.298847978806814
Iterasi1,3.6629878340035904,3.418647726535501,18.844946550597047
Iterasi3,3.721863696197127,3.4787418552501785,22.143336830930423
Iterasi2,7.25342576653597,7.240439884567718,26.12504155127101
