Jenis_PLT,RMSE,MAE,MAPE,Metode
PLT Hybrid,0.03856203751474574,0.027624977961451847,11.538219609497741,Direct Training
PLTS,0.19984558242828207,0.12997340692967477,14.923720688258616,Transfer Learning
PLTS Atap,0.29004364742723304,0.252135292446462,27.647623883361966,Direct Training
PLTMH,5.450786679848897,4.850894416526287,28.699657757764513,Transfer Learning
PLTM,7.025100683659921,5.221277164793701,16.06137811172054,Transfer Learning
PLTA,11.71819294719449,10.33050424198405,32.18633673091916,Transfer Learning
PLTB,13.497471210806284,11.73091824099121,24.900211151767714,Transfer Learning
