Jenis_PLT,Model_Terbaik,RMSE_Validasi_Terbaik,RMSE_Test_2025_Konfirmasi
PLT Hybrid,Iterasi2,0.010760907680391164,0.03845422163190301
PLTS,Iterasi2,0.06874914546303496,0.17784475874471553
PLTS Atap,Iterasi2,0.1039271078412986,0.254893121279484
PLTMH,Baseline,0.7303854175326246,2.2957310022487007
PLTM,Iterasi1,1.5662287477547712,3.312360279951753
PLTA,FineTuning,2.185902917645445,3.4108303051266495
PLTB,Baseline,5.280839650009803,16.241506226437515
