Jenis_PLT,RMSE_Baseline,MAE_Baseline,MAPE_Baseline,RMSE_FineTuning,MAE_FineTuning,MAPE_FineTuning,RMSE_Iterasi1,MAE_Iterasi1,MAPE_Iterasi1,RMSE_Iterasi2,MAE_Iterasi2,MAPE_Iterasi2,RMSE_Iterasi3,MAE_Iterasi3,MAPE_Iterasi3,Metode,Model_Terbaik_RMSE,Model_Terbaik_MAPE
PLT Hybrid,0.02934962267044769,0.023812539795110065,10.700641009454746,0.029269091819720604,0.024958063834262856,11.549715796989984,0.04045339806540534,0.03007754920485814,12.789422391989834,0.03813799809439324,0.02720041407671674,11.383705326740111,0.04422696736607528,0.030560797907632182,12.49271958340122,Direct Training,Fine-Tuning,Baseline
PLTS,0.22570885193377516,0.17548100671313985,17.57688640341087,0.11951812576751945,0.10168669792821759,11.699054819798738,0.12072084180565588,0.10243568989446515,11.837170544650126,0.18554284089188325,0.11730304832008108,13.48422135178278,0.12151424463709457,0.10283716691345725,11.912786475896416,Transfer Learning,Fine-Tuning,Fine-Tuning
PLTS Atap,0.27227944555447814,0.22951123824341332,24.90149048012685,0.2663029716982815,0.22260913958771264,24.03838474137436,0.40602813280231664,0.3575847151907781,33.125219848815384,0.1909724656790914,0.17282615537031046,18.21629442727319,0.62638058810749,0.5968610820174218,57.30751635265371,Direct Training,Iterasi 2,Iterasi 2
PLTMH,4.134718102686596,3.4813639771494542,20.913270334890736,2.0527532015603733,1.8700387653108728,11.500138940414113,2.1251612818166006,1.9612924433148198,11.963642182191197,5.321461403539376,4.72980742171936,27.918770723961778,2.1779070087634618,2.0167569494641118,12.186146163952714,Transfer Learning,Fine-Tuning,Fine-Tuning
PLTA,8.127259822868917,6.887648491562906,21.200650697124214,3.4941466050419483,2.804901073663737,9.40781043225916,3.488893297320058,2.817645341445312,9.421799339819662,10.867921979441656,9.448201957743327,29.2245005408269,3.4335548099578905,2.7780319355818683,9.226802992703027,Transfer Learning,Iterasi 3,Iterasi 3
PLTM,7.700048086281566,6.6972419497863775,22.24012391654182,3.628901783247223,2.80676753832479,11.067426260155147,3.6097116001265332,2.79265506579061,10.999265391205487,6.544288748107036,4.871297607831218,15.431879585594357,3.6213191913585905,2.8033459138232435,11.047711283217202,Transfer Learning,Iterasi 1,Iterasi 1
PLTB,16.55897425086946,12.511236727813317,20.286122017933558,13.547460020356821,11.637942024253745,24.639506817895786,13.572528078468407,11.665092814150391,24.706394928825322,13.836661972006048,11.985353815737305,25.615267755575672,13.57059518375308,11.662830698671875,24.700619107309123,Transfer Learning,Fine-Tuning,Baseline
