Model,Average_RMSE,Average_MAE,Average_MAPE
Baseline,23.421022782118968,20.03609314096239,21.471383042008096
Iterasi3,27.94321987386498,24.099232263225975,28.44492807544063
Iterasi1,27.944794917111853,24.104179210323753,28.485470734026205
FineTuning,28.419018702610543,24.59110706401401,28.999368330240056
Iterasi2,45.05254695199332,41.460408801841744,49.57743375704689
