Jenis_PLT,RMSE,MAE,MAPE
PLTS,0.13619081437227187,0.10401663107384845,10.85520667425484
PLTS Atap,0.15493310144564715,0.125123353498202,11.356997040276163
PLTB,11.86255339805263,8.26716151622732,13.023418454986011
PLTM,14.997841561895282,11.079220282858705,30.047527560932284
PLTA,178.126120390318,132.92336795635188,31.591873239399366
