Jenis_PLT,Model_Terbaik,RMSE_Validasi_Terbaik,RMSE_Test_2025_Konfirmasi
PLTS Atap,Iterasi2,0.04931422318528996,0.18298314238594737
PLTS,Iterasi3,0.05314764079902953,0.11906883994824001
PLTB,Baseline,0.05590578804207819,11.86255339805263
PLTM,Baseline,0.10690292658619735,14.997841561895282
PLTA,Baseline,0.10696007194972527,178.126120390318
