Jenis_PLT,Model_Terbaik,RMSE_Terbaik
PLT Hybrid,FineTuning,0.029126598958804043
PLTS,Iterasi3,0.12504531429303872
PLTS Atap,Baseline,0.19963576531339733
PLTMH,FineTuning,2.0217883804468193
PLTM,Baseline,2.8780317267281856
PLTA,Iterasi1,3.4188511996582367
PLTB,Iterasi3,12.46318076019446
