Model,Average_RMSE,Average_MAE,Average_MAPE
FineTuning,3.166354323898023,2.6859271765990465,15.030666400443154
Iterasi1,3.1844591485417424,2.71414102380186,15.541940483854797
Iterasi3,3.1850899113203623,2.712951943713303,14.068779916480228
Baseline,3.3284548480666794,2.8952320271990675,13.5085945168609
Iterasi2,5.584492734461947,4.761317716599474,23.671464866845838
