Jenis_PLT,RMSE,MAE,MAPE,Metode
PLT Hybrid,0.029126598958804043,0.02436194288070298,11.151151811840625,Direct Training
PLTS,0.12994715318561964,0.10482377978971354,12.372655305321329,Transfer Learning
PLTS Atap,0.2927545842903505,0.24777400206151837,27.24908060783171,Direct Training
PLTMH,2.0217883804468193,1.8165367619590256,11.182475683895793,Transfer Learning
PLTA,3.4496279855708925,2.729425763754476,9.304631281031952,Transfer Learning
PLTM,3.701550135774726,3.0265297440665697,11.622070013374614,Transfer Learning
PLTB,12.53968542905895,10.852038241681315,22.33260009980606,Transfer Learning
