Tanggal,Produksi,Kapasitas,Cuaca,Jenis
2021-08-01,1294.5793,5988.67,5.66,PLTA
2021-09-01,1360.507,5988.67,6.23,PLTA
2021-10-01,1512.0549,5988.67,5.77,PLTA
2021-11-01,1957.2806,5988.67,10.86,PLTA
2021-12-01,2182.4621,5988.67,8.86,PLTA
2022-01-01,2350.0753,5988.67,8.64,PLTA
2022-02-01,1946.1561,5988.67,5.67,PLTA
2022-03-01,1961.116,5988.67,7.32,PLTA
2022-04-01,1835.9963,5988.67,7.26,PLTA
2022-05-01,1957.4894,5988.67,7.01,PLTA
2022-06-01,2128.849,5988.67,9.21,PLTA
2022-07-01,1960.2094,5988.67,5.4,PLTA
2022-08-01,1770.7164,5988.67,4.92,PLTA
2022-09-01,1544.0502,5988.67,6.71,PLTA
2022-10-01,1895.8362,5988.67,9.28,PLTA
2022-11-01,2351.8886,5988.67,9.95,PLTA
2022-12-01,2614.8214,5988.67,9.61,PLTA
2023-01-01,3195.5408,5610.07,9.98,PLTA
2023-02-01,3070.6649,5610.07,9.2,PLTA
2023-03-01,2744.0666,5610.07,6.53,PLTA
2023-04-01,2286.1885,5610.07,5.69,PLTA
2023-05-01,1815.5026,5610.07,4.79,PLTA
2023-06-01,1619.1167,5610.07,4.69,PLTA
2023-07-01,1451.5483,5610.07,4.12,PLTA
2023-08-01,1050.2379,5610.07,1.03,PLTA
2023-09-01,645.7255,5610.07,0.9,PLTA
2023-10-01,432.2625,5610.07,2.12,PLTA
2023-11-01,1099.3343,5610.07,7.28,PLTA
2023-12-01,1588.1646,5610.07,5.48,PLTA
2013-01-01,0.0,0.63,3.2,PLTB
2013-02-01,0.0,0.63,2.15,PLTB
2013-03-01,0.0,0.63,2.13,PLTB
2013-04-01,0.0,0.63,1.66,PLTB
2013-05-01,0.0,0.63,1.6,PLTB
2013-06-01,0.0,0.63,1.67,PLTB
2013-07-01,0.0,0.63,2.46,PLTB
2013-08-01,0.0,0.63,2.89,PLTB
2013-09-01,0.0,0.63,2.65,PLTB
2013-10-01,0.0,0.63,1.85,PLTB
2013-11-01,0.0,0.63,1.88,PLTB
2013-12-01,0.0,0.63,2.11,PLTB
2014-01-01,0.0,1.12,3.11,PLTB
2014-02-01,0.0,1.12,2.37,PLTB
2014-03-01,0.0,1.12,1.79,PLTB
2014-04-01,0.0,1.12,1.46,PLTB
2014-05-01,0.0,1.12,2.13,PLTB
2014-06-01,0.0,1.12,2.23,PLTB
2014-07-01,0.0,1.12,2.51,PLTB
2014-08-01,0.0,1.12,3.12,PLTB
2014-09-01,0.0,1.12,3.01,PLTB
2014-10-01,0.0,1.12,2.85,PLTB
2014-11-01,0.0,1.12,1.59,PLTB
2014-12-01,0.0,1.12,2.17,PLTB
2015-01-01,0.3826,1.46,2.84,PLTB
2015-02-01,0.2829,1.46,2.1,PLTB
2015-03-01,0.2425,1.46,1.8,PLTB
2015-04-01,0.1846,1.46,1.37,PLTB
2015-05-01,0.3126,1.46,2.32,PLTB
2015-06-01,0.3287,1.46,2.44,PLTB
2015-07-01,0.4325,1.46,3.21,PLTB
2015-08-01,0.4392,1.46,3.26,PLTB
2015-09-01,0.4594,1.46,3.41,PLTB
2015-10-01,0.4459,1.46,3.31,PLTB
2015-11-01,0.2102,1.46,1.56,PLTB
2015-12-01,0.2789,1.46,2.07,PLTB
2016-01-01,0.3863,1.46,1.48,PLTB
2016-02-01,0.4489,1.46,1.72,PLTB
2016-03-01,0.3784,1.46,1.45,PLTB
2016-04-01,0.415,1.46,1.59,PLTB
2016-05-01,0.5011,1.46,1.92,PLTB
2016-06-01,0.5063,1.46,1.94,PLTB
2016-07-01,0.6577,1.46,2.52,PLTB
2016-08-01,0.6759,1.46,2.59,PLTB
2016-09-01,0.5376,1.46,2.06,PLTB
2016-10-01,0.4776,1.46,1.83,PLTB
2016-11-01,0.3889,1.46,1.49,PLTB
2016-12-01,0.6264,1.46,2.4,PLTB
2017-01-01,0.0,1.46,2.62,PLTB
2017-02-01,0.0,1.46,2.31,PLTB
2017-03-01,0.0,1.46,1.75,PLTB
2017-04-01,0.0,1.46,1.43,PLTB
2017-05-01,0.0,1.46,2.19,PLTB
2017-06-01,0.0,1.46,2.26,PLTB
2017-07-01,0.0,1.46,2.48,PLTB
2017-08-01,0.0,1.46,3.13,PLTB
2017-09-01,0.0,1.46,2.99,PLTB
2017-10-01,0.0,1.46,1.87,PLTB
2017-11-01,0.0,1.46,1.87,PLTB
2017-12-01,0.0,1.46,2.33,PLTB
2018-01-01,16.0657,143.51,2.42,PLTB
2018-02-01,15.6674,143.51,2.36,PLTB
2018-03-01,13.543,143.51,2.04,PLTB
2018-04-01,11.8833,143.51,1.79,PLTB
2018-05-01,16.9287,143.51,2.55,PLTB
2018-06-01,17.5926,143.51,2.65,PLTB
2018-07-01,18.2565,143.51,2.75,PLTB
2018-08-01,17.9909,143.51,2.71,PLTB
2018-09-01,19.9825,143.51,3.01,PLTB
2018-10-01,15.4018,143.51,2.32,PLTB
2018-11-01,11.6177,143.51,1.75,PLTB
