Tanggal,Produksi,Kapasitas,Cuaca,Jenis
2023-03-01,0.7326,5.14,5.4113,PLTS
2023-04-01,0.7041,5.14,5.201,PLTS
2023-05-01,0.6872,5.14,5.0758,PLTS
2023-06-01,0.6576,5.14,4.8571,PLTS
2023-07-01,0.7116,5.14,5.2562,PLTS
2023-08-01,0.8729,5.14,6.4481,PLTS
2023-09-01,0.9423,5.14,6.9605,PLTS
2023-10-01,0.9663,5.14,7.1374,PLTS
2023-11-01,0.8272,5.14,6.1099,PLTS
2023-12-01,0.7253,5.14,5.3573,PLTS
2024-01-01,0.6005,5.14,4.1609,PLTS
2024-02-01,0.7035,5.14,4.8742,PLTS
2024-03-01,0.721,5.14,4.9958,PLTS
2024-04-01,0.7005,5.14,4.8538,PLTS
2024-05-01,0.739,5.14,5.1204,PLTS
2024-06-01,0.7024,5.14,4.8667,PLTS
2024-07-01,0.7472,5.14,5.177,PLTS
2024-08-01,0.884,5.14,6.1248,PLTS
2024-09-01,0.9281,5.14,6.4303,PLTS
2024-10-01,0.935,5.14,6.4783,PLTS
2024-11-01,0.843,5.14,5.8406,PLTS
2024-12-01,0.5011,5.14,3.4716,PLTS
2025-01-01,0.7898,6.2648,4.3742,PLTS
2025-02-01,0.8274,6.2648,4.5823,PLTS
2025-03-01,0.9057,6.2648,5.0162,PLTS
2025-04-01,0.9234,6.2648,5.1142,PLTS
2025-05-01,0.8722,6.2648,4.8307,PLTS
2025-06-01,0.7531,6.2648,4.1707,PLTS
2025-07-01,0.9317,6.2648,5.1602,PLTS
2025-08-01,1.036,6.2648,5.7379,PLTS
2025-09-01,1.1417,6.2648,6.323,PLTS
2025-10-01,1.1141,6.2648,6.1704,PLTS
2025-11-01,0.8876,6.2648,4.9159,PLTS
2025-12-01,0.7931,6.2648,4.3922,PLTS
2023-01-01,0.0234,0.1905,4.6603,PLTS Atap
2023-02-01,0.0203,0.1905,4.0435,PLTS Atap
2023-03-01,0.0272,0.1905,5.4113,PLTS Atap
2023-04-01,0.0261,0.1905,5.201,PLTS Atap
2023-05-01,0.0255,0.1905,5.0758,PLTS Atap
2023-06-01,0.0244,0.1905,4.8571,PLTS Atap
2023-07-01,0.0264,0.1905,5.2562,PLTS Atap
2023-08-01,0.0324,0.1905,6.4481,PLTS Atap
2023-09-01,0.0349,0.1905,6.9605,PLTS Atap
2023-10-01,0.0358,0.1905,7.1374,PLTS Atap
2023-11-01,0.0307,0.1905,6.1099,PLTS Atap
2023-12-01,0.0269,0.1905,5.3573,PLTS Atap
2024-01-01,0.8127,6.9555,4.1609,PLTS Atap
2024-02-01,0.952,6.9555,4.8742,PLTS Atap
2024-03-01,0.9757,6.9555,4.9958,PLTS Atap
2024-04-01,0.948,6.9555,4.8538,PLTS Atap
2024-05-01,1.0,6.9555,5.1204,PLTS Atap
2024-06-01,0.9505,6.9555,4.8667,PLTS Atap
2024-07-01,1.0111,6.9555,5.177,PLTS Atap
2024-08-01,1.1962,6.9555,6.1248,PLTS Atap
2024-09-01,1.2559,6.9555,6.4303,PLTS Atap
2024-10-01,1.2653,6.9555,6.4783,PLTS Atap
2024-11-01,1.1407,6.9555,5.8406,PLTS Atap
2024-12-01,0.678,6.9555,3.4716,PLTS Atap
2025-01-01,0.947,7.51194,4.3742,PLTS Atap
2025-02-01,0.9921,7.51194,4.5823,PLTS Atap
2025-03-01,1.086,7.51194,5.0162,PLTS Atap
2025-04-01,1.1073,7.51194,5.1142,PLTS Atap
2025-05-01,1.0459,7.51194,4.8307,PLTS Atap
2025-06-01,0.903,7.51194,4.1707,PLTS Atap
2025-07-01,1.1172,7.51194,5.1602,PLTS Atap
2025-08-01,1.2423,7.51194,5.7379,PLTS Atap
2025-09-01,1.369,7.51194,6.323,PLTS Atap
2025-10-01,1.3359,7.51194,6.1704,PLTS Atap
2025-11-01,1.0643,7.51194,4.9159,PLTS Atap
2025-12-01,0.9509,7.51194,4.3922,PLTS Atap
