Jenis_PLT,Metode_Terpilih,RMSE_Test_2025_Konfirmasi,MAE_Test_2025_Konfirmasi,MAPE_Test_2025_Konfirmasi
PLTA,Pooled+Ensemble(B),77.06188099042933,44.970246102483145,10.990177724288868
PLTB,Pooled+Ensemble(B),5.070630281525828,3.9950128527151247,7.493111781211207
PLTM,Pooled+Ensemble(B),5.83124406945125,3.0499912916302994,8.904050059813393
PLTS,Pooled+Ensemble(C),0.09580770837043942,0.06729319476435579,7.895312462589102
PLTS Atap,Pooled+Ensemble(C),0.11378135120834557,0.08127201844409104,7.920634657360566
