Kategori,Varian,Window,LR,RMSE_WalkForward,RMSE,MAE,MAPE
PLTA,B,3,0.001,7.555365693078302,77.06188099042933,44.970246102483145,10.990177724288868
PLTB,B,6,0.001,5.600445802714915,5.070630281525828,3.9950128527151247,7.493111781211207
PLTM,B,3,0.0001,5.1019891191214874,5.83124406945125,3.0499912916302994,8.904050059813393
PLTS,C,3,0.001,0.014745337935729049,0.09580770837043942,0.06729319476435579,7.895312462589102
PLTS Atap,C,3,0.001,0.016356519150293635,0.11378135120834557,0.08127201844409104,7.920634657360566
