Kategori,Model,RMSE,MAE,MAPE
PLTA,LSTM_A,65.65684229022442,39.8823787312276,10.674954420623921
PLTA,LSTM_B,66.8282166090211,34.973444244882735,8.914271493299552
PLTA,LSTM_C,64.8416893203094,39.320228523963415,9.291710583065193
PLTA,LSTM_D,59.127901776676175,26.99356773968111,6.279528654980411
PLTA,LSTM_E,71.13447839780298,44.11607425916426,10.442813869481716
PLTA,LSTM_F,63.751536406379095,32.91936829424148,7.51069476737921
PLTB,LSTM_A,9.115951242140236,6.659197101659248,12.722140054111138
PLTB,LSTM_B,5.070630281525828,3.9950128527151247,7.493111781211207
PLTB,LSTM_C,5.105957645663405,3.9497815983162994,7.341253823673919
PLTB,LSTM_D,5.0164081900762,4.282408403770794,7.854666547080884
PLTB,LSTM_E,4.767236720648789,3.472529007411667,6.5151662531042955
PLTB,LSTM_F,4.689043353050912,3.925188195953768,7.270614458921278
PLTM,LSTM_A,5.734298023260392,3.4954816045077144,10.744593251095058
PLTM,LSTM_B,5.83124406945125,3.0499912916302994,8.904050059813393
PLTM,LSTM_C,5.70130522066513,3.4546810335847735,9.306871388602325
PLTM,LSTM_D,5.193109406659444,2.399846157284617,6.424868935322513
PLTM,LSTM_E,6.24561091182359,3.8685755015264167,10.44218706331293
PLTM,LSTM_F,5.612275680974657,2.9201874605439304,7.626332058084338
PLTS,LSTM_A,0.09586683918952775,0.08678857620060447,9.617638386737955
PLTS,LSTM_B,0.07651522943276684,0.06313422533406148,7.34749526778558
PLTS,LSTM_C,0.068382308500168,0.052122968884805776,6.026248989627198
PLTS,LSTM_D,0.09779054845512163,0.07919810066140365,9.12846556039404
PLTS,LSTM_E,0.059993510277544446,0.051408871868418284,5.628076656238563
PLTS,LSTM_F,0.08324219312359436,0.07421960779196689,8.559675648732945
PLTS Atap,LSTM_A,0.11337617375202468,0.10408339280594141,9.691163099984367
PLTS Atap,LSTM_B,0.09389785344207259,0.0763427210891247,7.432650890979666
PLTS Atap,LSTM_C,0.07645593655568039,0.06532816769611093,6.05247138631157
PLTS Atap,LSTM_D,0.12759062553609316,0.10163792882289736,9.43793181146802
PLTS Atap,LSTM_E,0.07549525328165954,0.0624433135780692,5.502720053882296
PLTS Atap,LSTM_F,0.09155646214907795,0.08077697870314117,7.8010069912753
