Kategori,Model,RMSE,MAE,MAPE
Hydro,LSTM_A,76.85339013924434,47.030919279421845,11.892441090465889
Hydro,LSTM_B,81.21312336548564,51.01872135725267,12.445996619311826
Hydro,Naive_lag1,98.46913276724081,64.96770833333333,15.77387048540386
Hydro,SeasonalNaive_x_rasio_kapasitas,106.87018617864072,89.63099604253142,26.13959536901208
Hydro,SeasonalNaive_lag12,111.49217796969361,94.77199166666666,25.62168090811711
Solar,SeasonalNaive_x_rasio_kapasitas,0.17612618768231844,0.13497594842434518,7.21858364622767
Solar,Naive_lag1,0.28671824293778964,0.2372916666666667,12.277630218990828
Solar,SeasonalNaive_lag12,0.29007758301300474,0.25074166666666664,12.575833335093076
Solar,LSTM_A,0.37078322245391176,0.31584785249053193,16.535012166674388
Solar,LSTM_B,0.40287876951099744,0.33286083474541084,17.278925793156926
Wind,SeasonalNaive_x_rasio_kapasitas,9.04982041226694,8.174625000000004,14.601911215075
Wind,SeasonalNaive_lag12,9.845535551626094,7.831133333333334,14.069064819328094
Wind,Naive_lag1,10.42297501911842,7.328991666666666,13.68589456931946
Wind,LSTM_B,10.519997885848644,7.876319259901841,14.332936439268149
Wind,LSTM_A,11.131878236890138,8.4063904799521,15.468587436798517
