PLT,Model,RMSE,MAE,MAPE
PLT Hybrid,"ARIMA(1, 1, 1)",0.04197645819868354,0.029192292520321822,11.91519360174316
PLT Hybrid,LSTM_FineTuning,0.0295911778577165,0.0251736662520497,11.569108045435772
PLT Hybrid,Naive_Persistence,0.03240763848183307,0.02964776125,13.448393001474182
PLTA,"ARIMA(1, 1, 1)",7.668946285977571,5.759185191173067,21.57004802533735
PLTA,LSTM_FineTuning,3.410830305126649,2.746133437046712,9.239715125393683
PLTA,Naive_Persistence,4.754102264983124,4.17922281,12.966399808905082
PLTB,"ARIMA(1, 1, 1)",12.709630126515135,10.637640067684066,18.885841209782242
PLTB,LSTM_FineTuning,13.869856590049608,11.995972025576172,25.49570463553606
PLTB,Naive_Persistence,12.74245191025844,10.571084276666669,20.50152968987318
PLTM,"ARIMA(1, 1, 1)",7.607593711255181,5.769375899173716,23.77468649797762
PLTM,LSTM_FineTuning,3.3449453057673404,2.551071754490154,9.938265836553962
PLTM,Naive_Persistence,4.136217334348771,3.733102960833334,12.725162264979486
PLTMH,"ARIMA(1, 1, 1)",5.86808367611529,4.858175445213381,34.44727366782389
PLTMH,LSTM_FineTuning,2.037881073376102,1.8571593016569008,11.315084976883492
PLTMH,Naive_Persistence,2.6029126765413597,2.2584884733333337,13.507886080840969
PLTS,"ARIMA(1, 1, 1)",0.2635027778662078,0.22338567064992976,22.904033427412752
PLTS,LSTM_FineTuning,0.1185547972915621,0.1004018751066004,11.426209434449246
PLTS,Naive_Persistence,0.11531559330961101,0.09483566600000004,10.535971783303498
PLTS Atap,"ARIMA(1, 1, 1)",0.16539119743994235,0.1429919617057896,14.447201379967591
PLTS Atap,LSTM_FineTuning,0.3131483174507861,0.2619654110135956,28.93572549517534
PLTS Atap,Naive_Persistence,0.13789910911824538,0.11558481575,11.59409282419437
