Tahun,Target_Bauran_EBT_Persen_RUED,Forecast_Produksi_EBT_Kelistrikan_GWh,Catatan_Cakupan
2026,20.48,4888.275,Target % mencakup seluruh sektor energi (RUED); forecast GWh hanya sektor kelistrikan. Tidak dikonversi menjadi satu satuan gap karena tidak ada data total bauran energi Sulsel (seluruh sektor) sebagai penyebut yang valid.
2027,20.96,4839.044,Target % mencakup seluruh sektor energi (RUED); forecast GWh hanya sektor kelistrikan. Tidak dikonversi menjadi satu satuan gap karena tidak ada data total bauran energi Sulsel (seluruh sektor) sebagai penyebut yang valid.
2028,21.44,4845.666,Target % mencakup seluruh sektor energi (RUED); forecast GWh hanya sektor kelistrikan. Tidak dikonversi menjadi satu satuan gap karena tidak ada data total bauran energi Sulsel (seluruh sektor) sebagai penyebut yang valid.
