Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2027-07-01,2027,7,PLTS,1.0255337939738274
2027-08-01,2027,8,PLTS,1.0265322715670586
2027-09-01,2027,9,PLTS,0.9943167770233154
2027-10-01,2027,10,PLTS,1.0282996796997073
2027-11-01,2027,11,PLTS,0.9958542303371429
2027-12-01,2027,12,PLTS,1.0297169678026201
2028-01-01,2028,1,PLTS,1.0303141374149323
2028-02-01,2028,2,PLTS,0.9643449578999519
2028-03-01,2028,3,PLTS,1.0313362295310975
2028-04-01,2028,4,PLTS,0.998488078617096
2028-05-01,2028,5,PLTS,1.032160515290451
2028-06-01,2028,6,PLTS,0.999203101278305
2028-07-01,2028,7,PLTS,1.0328235277490616
2028-08-01,2028,8,PLTS,1.0331053045712473
2028-09-01,2028,9,PLTS,1.0000241876506806
2028-10-01,2028,10,PLTS,1.0335853739315988
2028-11-01,2028,11,PLTS,1.0004411161680222
2028-12-01,2028,12,PLTS,1.0339720964718817
2026-01-01,2026,1,PLTS Atap,1.145410441228931
2026-02-01,2026,2,PLTS Atap,1.0397124231099986
2026-03-01,2026,3,PLTS Atap,1.1530266416914914
2026-04-01,2026,4,PLTS Atap,1.1169402453315498
2026-05-01,2026,5,PLTS Atap,1.1539210780402633
2026-06-01,2026,6,PLTS Atap,1.1188442873877524
2026-07-01,2026,7,PLTS Atap,1.161656286840105
2026-08-01,2026,8,PLTS Atap,1.1612592037385272
2026-09-01,2026,9,PLTS Atap,1.1200889062861203
2026-10-01,2026,10,PLTS Atap,1.1494984484032487
2026-11-01,2026,11,PLTS Atap,1.1071016066838026
2026-12-01,2026,12,PLTS Atap,1.145921952220938
2027-01-01,2027,1,PLTS Atap,1.151502352260246
2027-02-01,2027,2,PLTS Atap,1.0400782248490335
2027-03-01,2027,3,PLTS Atap,1.1514260669999599
2027-04-01,2027,4,PLTS Atap,1.1141736822981834
2027-05-01,2027,5,PLTS Atap,1.1511908818743608
2027-06-01,2027,6,PLTS Atap,1.1139547073874234
2027-07-01,2027,7,PLTS Atap,1.1509502002125405
2027-08-01,2027,8,PLTS Atap,1.150720511623163
2027-09-01,2027,9,PLTS Atap,1.1134029583115816
2027-10-01,2027,10,PLTS Atap,1.150399047535057
2027-11-01,2027,11,PLTS Atap,1.1133279249505519
2027-12-01,2027,12,PLTS Atap,1.150576435749478
2028-01-01,2028,1,PLTS Atap,1.1506640472056149
2028-02-01,2028,2,PLTS Atap,1.0764029602610277
2028-03-01,2028,3,PLTS Atap,1.150613329166844
2028-04-01,2028,4,PLTS Atap,1.11347678275702
2028-05-01,2028,5,PLTS Atap,1.1505756862218115
2028-06-01,2028,6,PLTS Atap,1.1134472046222208
2028-07-01,2028,7,PLTS Atap,1.1505512849322221
2028-08-01,2028,8,PLTS Atap,1.1505436230938528
2028-09-01,2028,9,PLTS Atap,1.1134264112740515
2028-10-01,2028,10,PLTS Atap,1.150541457791705
2028-11-01,2028,11,PLTS Atap,1.113429796237707
2028-12-01,2028,12,PLTS Atap,1.1505457051151489
