Jenis_PLT,RMSE,MAE,MAPE,Metode
PLT Hybrid,0.0406527531857136,0.03019020322524706,12.826135912377984,Direct Training
PLTS,0.12197561708512998,0.10185367040644838,11.864580987308,Transfer Learning
PLTS Atap,0.23634636413588272,0.18928140423479212,17.785238876638473,Direct Training
PLTMH,2.106897859579199,1.956397776820679,11.784549574478962,Transfer Learning
PLTA,3.490614997463469,2.7371756391410322,9.395565552701862,Transfer Learning
PLTM,3.8673284318611074,3.15185351649699,12.197283536471748,Transfer Learning
PLTB,13.055290539313495,11.063026420719401,23.14897615854329,Transfer Learning
