Jenis_PLT,RMSE,MAE,MAPE,Metode
PLT Hybrid,0.04084064852704414,0.029878730461629227,12.60838344901927,Direct Training
PLTS,0.12582041873626937,0.10325079334587607,12.115881020037689,Transfer Learning
PLTS Atap,0.3500362447698598,0.29945852885966495,27.693427568840505,Direct Training
PLTMH,2.053649992075538,1.8726007193509933,11.38562047244855,Transfer Learning
PLTA,3.4368924961713816,2.710740581818848,9.26189239640355,Transfer Learning
PLTM,3.8161128276697975,3.1344158995129408,12.054104159382932,Transfer Learning
PLTB,13.055230709798666,11.06342473869222,23.150196896306106,Transfer Learning
