Jenis_PLT,Model_Terbaik,RMSE_Validasi_Terbaik,RMSE_Test_2025_Konfirmasi
PLT Hybrid,Iterasi2,0.011132827383171583,0.03945920388062761
PLTS,Iterasi2,0.0658492345174338,0.22497764857306085
PLTS Atap,Iterasi2,0.10923597211786405,0.2778431217559855
PLTA,FineTuning,1.679511690187667,3.53921366869169
PLTM,Iterasi3,1.9907071271422534,3.8673284318611074
PLTMH,FineTuning,2.2192630410911476,2.0083016203152613
PLTB,Baseline,5.2732961031735535,16.633873653145404
