Model,Average_RMSE,Average_MAE,Average_MAPE
Baseline,3.3038588477786446,2.796359298275791,13.739489028500506
FineTuning,3.3320958729531296,3.079520454961737,13.786276768190044
Iterasi3,3.3988706940388558,3.13653977394303,15.494407659712307
Iterasi1,3.4118124996481494,3.1617789502328804,17.304350984583547
Iterasi2,6.949464652922714,6.936131429618635,25.326924591393244
