Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,PLTS Atap,0.7926
2026-02-01,2026,2,PLTS Atap,0.7408
2026-03-01,2026,3,PLTS Atap,0.8889
2026-04-01,2026,4,PLTS Atap,0.9453
2026-05-01,2026,5,PLTS Atap,0.9814
2026-06-01,2026,6,PLTS Atap,0.9059
2026-07-01,2026,7,PLTS Atap,1.024
2026-08-01,2026,8,PLTS Atap,1.2984
2026-09-01,2026,9,PLTS Atap,1.4638
2026-10-01,2026,10,PLTS Atap,1.4691
2026-11-01,2026,11,PLTS Atap,1.2461
2026-12-01,2026,12,PLTS Atap,0.9164
2027-01-01,2027,1,PLTS Atap,0.7382
2027-02-01,2027,2,PLTS Atap,0.6612
2027-03-01,2027,3,PLTS Atap,0.8156
2027-04-01,2027,4,PLTS Atap,0.879
2027-05-01,2027,5,PLTS Atap,0.9266
2027-06-01,2027,6,PLTS Atap,0.8646
2027-07-01,2027,7,PLTS Atap,0.991
2027-08-01,2027,8,PLTS Atap,1.2702
2027-09-01,2027,9,PLTS Atap,1.4398
2027-10-01,2027,10,PLTS Atap,1.4499
2027-11-01,2027,11,PLTS Atap,1.233
2027-12-01,2027,12,PLTS Atap,0.9088
2028-01-01,2028,1,PLTS Atap,0.7342
2028-02-01,2028,2,PLTS Atap,0.6594
2028-03-01,2028,3,PLTS Atap,0.8147
2028-04-01,2028,4,PLTS Atap,0.8786
2028-05-01,2028,5,PLTS Atap,0.9264
2028-06-01,2028,6,PLTS Atap,0.8645
2028-07-01,2028,7,PLTS Atap,0.9909
2028-08-01,2028,8,PLTS Atap,1.2702
2028-09-01,2028,9,PLTS Atap,1.4399
2028-10-01,2028,10,PLTS Atap,1.4499
2028-11-01,2028,11,PLTS Atap,1.233
2028-12-01,2028,12,PLTS Atap,0.9089
